ISO_A3,scc
ABW,35.520325203252035
AFG,33.06377765244093
AGO,29.934128733503496
ALB,62.95695096887845
AND,72.95132743362832
ARE,14.106643459791139
ARG,42.86511000455413
ARM,57.38181356915048
ASM,75.61458333333333
ATG,62.86486486486486
AUS,30.05571806958285
AUT,72.72073202549417
AZE,53.64213039617978
BDI,62.98562661498708
BEL,58.711426871001336
BEN,29.110879817575622
BFA,27.18543342269884
BGD,44.46333116566412
BGR,46.75954803087601
BHR,14.3601108033241
BHS,67.29784907036093
BIH,72.93813726833278
BLR,48.63619372623668
BLZ,65.54269087523278
BOL,46.13941977444245
BRA,45.13467778624158
BRB,59.53822629969419
BRN,63.61829245804905
BTN,64.53031746440433
BWA,19.64443613072629
CAF,40.505147733676836
CAN,65.53763506220409
CHE,81.17270524899058
CHL,69.70016340116958
CHN,46.996558710010135
CIV,37.980061758389894
CMR,47.09686995930688
COD,45.195778023606856
COG,49.18421506218211
COL,61.958069810798996
COM,71.94416607015032
CPV,30.323285143032912
CRI,67.8904317596052
CUB,63.400134998312524
CUW,42.413907284768214
CYM,72.36111111111111
CYP,39.24022078233741
CZE,53.45356701916367
DEU,59.406230598194924
DJI,20.403953488372093
DMA,76.16148148148149
DNK,57.16547399099638
DOM,66.05496602139473
DZA,18.414140671333016
ECU,70.4086107718939
EGY,19.193318496308567
ERI,29.98371616078753
ESP,45.726511061530715
EST,83.19351389878831
ETH,50.08696309309587
FIN,79.5465887058298
FJI,62.98731678133413
FRO,90.22331154684096
FSM,87.01711491442543
GAB,52.160572682945784
GBR,82.15765818299258
GEO,72.4358073185859
GHA,36.56151908207621
GIN,48.84317359129264
GMB,27.547502047502046
GNB,41.12742653006201
GNQ,55.76012947448591
GRC,47.35461290661155
GRD,68.58275862068966
GRL,89.0040965391973
GTM,66.24712809936636
GUM,57.200873362445414
GUY,50.29649589288258
HKG,55.10550458715596
HND,66.80228602530957
HRV,64.12453914654667
HTI,63.44183414634146
HUN,48.1686655136316
IDN,63.80652701326975
IMN,87.95882352941176
IND,38.26892570269326
IRL,90.88582246145425
IRN,25.875119367084363
IRQ,23.795904746401245
ISL,108.35491658580497
ISR,28.38256255527233
ITA,56.16696331577029
JAM,72.54082123281084
JOR,19.752274381368267
JPN,82.27067555689717
KAZ,42.11074511800815
KEN,37.15933931584224
KGZ,54.875673225329464
KHM,50.65451115466978
KIR,70.58333333333333
KNA,67.54794520547945
KOR,53.62302031587986
KWT,15.893089190785588
LAO,56.092531659508865
LBN,44.67986728031681
LBR,48.531798464430885
LBY,18.55827819089767
LCA,71.58563535911603
LIE,80.8225806451613
LKA,59.39547645178222
LSO,55.766194837635304
LTU,52.62283283219244
LUX,62.873042044517724
LVA,66.41756373028733
MAC,48.75
MAF,65.44736842105263
MAR,25.228724092079098
MCO,64.6
MDA,60.319363032434545
MDG,50.24998503923141
MEX,42.47799070020801
MKD,49.355995760984754
MLI,20.6062930075569
MLT,40.96135265700483
MMR,59.63796044102064
MNE,83.08372127947139
MNG,40.452492322565966
MNP,59.796551724137935
MOZ,34.827399581419996
MRT,17.54607537088221
MUS,59.74829510229386
MWI,35.83785417926318
MYS,61.856650800030145
NAM,18.054468948196348
NCL,67.15548642533936
NER,19.121713142040782
NGA,29.320788050453444
NIC,60.768127079568295
NLD,39.06878306878307
NLD,65.46153846153847
NLD,89.6
NLD,67.66548768874983
NPL,52.184647128179215
NRU,57.8
NZL,106.50949179083044
OMN,18.22359782706641
PAK,24.253668574990762
PAN,61.5287572915079
PER,56.609360018610325
PHL,63.50488665059998
PLW,58.31290322580645
PNG,77.47162686442283
POL,43.69248510538876
PRI,71.32606060606061
PRK,60.05398259059355
PRT,50.39348728292875
PRY,42.84592094069797
PYF,69.929203539823
QAT,12.31107239643825
ROU,48.37579903206775
RUS,72.89745691874519
RWA,71.0404727489159
SAU,15.92973536866048
SDN,20.620667572413836
SEN,23.59969584669843
SGP,55.52995391705069
SLB,70.7525890891299
SLE,53.22975462279407
SLV,62.57313943541489
SMR,46.98039215686274
SOM,30.611780336027927
SRB,52.53196913965501
SSD,35.764661579186374
STP,67.96361631753032
SUR,46.63077652703966
SVK,58.0183273326682
SVN,82.9440435945305
SWE,79.09038748546243
SWZ,49.155335249604036
SXM,64.9
SYC,72.98214285714286
SYR,22.923935019811694
TCA,63.956331877729255
TCD,22.19857473202362
TGO,34.04963160591551
THA,49.07105781741596
TJK,49.986777676516475
TKM,27.271551798685575
TLS,58.00020531070353
TON,63.443820224719104
TTO,64.61402008976278
TUN,22.8055074001242
TUR,50.95364211277565
TUV,82.0
TZA,38.12741692835424
UGA,60.95427732927733
UKR,59.58603440730617
URY,64.15686966380527
USA,51.25205659671266
UZB,29.28044535092301
VCT,72.90397350993378
VEN,52.33909655683097
VGB,65.52
VIR,62.9
VNM,59.09831860571586
VUT,70.94101642211642
WSM,74.89140944589066
YEM,22.264711063741704
ZAF,31.58648547301092
ZMB,35.11069834448208
ZWE,31.579957538475895
